"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Publisher","Sponsors","Conference name","Conference date","Conference location","Conference code","ISSN","ISBN","CODEN","Document Type","Publication Stage","Open Access","Source","EID"
"Dat P.V.T.; Doan L.; Binh H.T.T.","Dat, Pham Vu Tuan (59760937200); Doan, Long (59428881200); Binh, Huynh Thi Thanh (16641940000)","59760937200; 59428881200; 16641940000","HSEvo: Elevating Automatic Heuristic Design with Diversity-Driven Harmony Search and Genetic Algorithm Using LLMs","2025","Proceedings of the AAAI Conference on Artificial Intelligence","39","25","","26931","26938","7","3","10.1609/aaai.v39i25.34898","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003907062&doi=10.1609%2faaai.v39i25.34898&partnerID=40&md5=5326a4cc6f744ee3cf612c7384394f4b","Hanoi University of Science and Technology, Hanoi, Viet Nam; George Mason University, VA, United States","Dat P.V.T., Hanoi University of Science and Technology, Hanoi, Viet Nam; Doan L., George Mason University, VA, United States; Binh H.T.T., Hanoi University of Science and Technology, Hanoi, Viet Nam","Automatic Heuristic Design (AHD) is an active research area due to its utility in solving complex search and NP-hard combinatorial optimization problems in the real world. The recent advancements in Large Language Models (LLMs) introduce new possibilities by coupling LLMs with evolutionary computation to automatically generate heuristics, known as LLM-based Evolutionary Program Search (LLM-EPS). While previous LLM-EPS studies obtained great performance on various tasks, there is still a gap in understanding the properties of heuristic search spaces and achieving a balance between exploration and exploitation, which is a critical factor in large heuristic search spaces. In this study, we address this gap by proposing two diversity measurement metrics and perform an analysis on previous LLM-EPS approaches, including FunSearch, EoH, and ReEvo. Results on black-box AHD problems reveal that while EoH demonstrates higher diversity than FunSearch and ReEvo, its objective score is unstable. Conversely, ReEvo’s reflection mechanism yields good objective scores but fails to optimize diversity effectively. With this finding in mind, we introduce HSEvo, an adaptive LLM-EPS framework that maintains a balance between diversity and convergence with a harmony search algorithm. Through experimentation, we find that HSEvo achieved high diversity indices and good objective scores while remaining cost-effective. These results underscore the importance of balancing exploration and exploitation and understanding heuristic search spaces in designing frameworks in LLM-EPS. Copyright © 2025, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","","Combinatorial optimization; Computational linguistics; Heuristic algorithms; Search engines; Combinatorial optimization problems; Complex searches; Harmony search; Heuristic designs; Heuristic search; Language model; NP-hard; Real-world; Research areas; Search spaces; Genetic algorithms","Association for the Advancement of Artificial Intelligence","Association for the Advancement of Artificial Intelligence","39th Annual AAAI Conference on Artificial Intelligence, AAAI 2025","25 February 2025 through 4 March 2025","Philadelphia","208400","21595399","","","Conference paper","Final","","Scopus","2-s2.0-105003907062"
"Sledge D.; Thomas H.F.","Sledge, Daniel (55532249500); Thomas, Herschel F. (55354874600)","55532249500; 55354874600","Risk communication and large language models; [风险传播与大语言模型]; [Comunicación de riesgos y modelos de lenguaje amplio]","2025","Risk, Hazards and Crisis in Public Policy","16","3","e12303","","","","0","10.1002/rhc3.12303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192181112&doi=10.1002%2frhc3.12303&partnerID=40&md5=3f374df3fdeab3c1e6a805b191679f3c","Hudson College of Public Health, University of Oklahoma Health Sciences, Oklahoma City, OK, United States; Lyndon B. Johnson School of Public Affairs, University of Texas at Austin, Austin, TX, United States","Sledge D., Hudson College of Public Health, University of Oklahoma Health Sciences, Oklahoma City, OK, United States; Thomas H.F., Lyndon B. Johnson School of Public Affairs, University of Texas at Austin, Austin, TX, United States","The widespread embrace of Large Language Models (LLMs) integrated with chatbot interfaces, such as ChatGPT, represents a potentially critical moment in the development of risk communication and management. In this article, we consider the implications of the current wave of LLM-based chat programs for risk communication. We examine ChatGPT-generated responses to 24 different hazard situations. We compare these responses to guidelines published for public consumption on the US Department of Homeland Security's Ready.gov website. We find that, although ChatGPT did not generate false or misleading responses, ChatGPT responses were typically less than optimal in terms of their similarity to guidances from the federal government. While delivered in an authoritative tone, these responses at times omitted important information and contained points of emphasis that were substantially different than those from Ready.gov. Moving forward, it is critical that researchers and public officials both seek to harness the power of LLMs to inform the public and acknowledge the challenges represented by a potential shift in information flows away from public officials and experts and towards individuals. © 2024 Policy Studies Organization.","disaster planning and preparedness; large language models; risk communication","","John Wiley and Sons Inc","","","","","","19444079","","","Article","Final","","Scopus","2-s2.0-85192181112"
"Amah M.; Young R.","Amah, Munachim (57215493715); Young, Rachel (55795512200)","57215493715; 55795512200","De-Westernizing Media and Communication Theory in Practice: Toward a More Inclusive Theory for Explaining Exemplification Phenomena","2025","Journalism and Media","6","2","90","","","","0","10.3390/journalmedia6020090","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008908893&doi=10.3390%2fjournalmedia6020090&partnerID=40&md5=c5ca127fe97bd182c9b548915a475d54","School of Journalism and Mass Communication, University of Iowa, Iowa City, 52242-2004, IA, United States","Amah M., School of Journalism and Mass Communication, University of Iowa, Iowa City, 52242-2004, IA, United States; Young R., School of Journalism and Mass Communication, University of Iowa, Iowa City, 52242-2004, IA, United States","This experimental study models an approach for de-westernizing communication theory by exploring exemplification within a Global South context. Incorporating local knowledge from Nigerian journalists on their motivations for using exemplars in poverty reporting and their anticipated audience outcomes, the study identifies and tests constructs that align with previous experimental studies on exemplification—such as perception of issue significance, awareness of social responsibility to address a social issue, and emotional connection with exemplified group—and those that diverge from previous scholarship—such as trust in media and trust in government. The study also identifies the mediating influence of identification, true to Nigerian journalists’ expectations. By grounding theoretical explanations for exemplification effects on local knowledge from this context, this study challenges the assumption of the universality of exemplification theory, enriches the theory by making it more cumulative, and advances an argument for a more inclusive and just theorizing of exemplification phenomena. © 2025 by the authors.","communication theory; de-westernization; exemplification theory; Global North; Global South; Nigerian journalists","","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","","26735172","","","Article","Final","","Scopus","2-s2.0-105008908893"
"Wei Z.","Wei, Zhigao (58345614300)","58345614300","Adaptive English Translation Parameter Tuning via Particle Swarm Optimization and Attention Mechanism","2025","International Journal of Swarm Intelligence Research","16","1","","","","","0","10.4018/IJSIR.372900","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003658798&doi=10.4018%2fIJSIR.372900&partnerID=40&md5=8b2af4c02ff392ca3293f23dbe4b5a0d","Xinxiang University, China","Wei Z., Xinxiang University, China","This paper proposes an English Translation Model Parameter Adaptive Tuning Method Integrating Particle Swarm Optimization (PSO) and Attention Mechanism. We encode key Neural Machine Translation (NMT) hyperparameters as particles and employ a specialized fitness function that rewards both conventional translation metrics and attention alignment quality. Furthermore, a dynamic feedback multiplier modulates PSO velocity updates in real time, incentivizing hyperparameter adjustments when attention scores deviate from predefined thresholds. Experimental evaluations on both IWSLT En–De and WMT En–De datasets demonstrate the effectiveness of this method, yielding improvements in BLEU and ROUGE-L scores relative to standard baselines. Ablation studies further confirm that both the attention alignment term in the fitness function and the dynamic attention feedback are indispensable for achieving superior translation quality and more coherent attention patterns. © 2025 IGI Global. All rights reserved.","Adaptive Tuning; English Translation; Neural Machine Translation; Particle Swarm Optimization","Adaptive tuning; Attention mechanisms; English translation; Fitness functions; Hyper-parameter; Machine translations; Particle swarm; Particle swarm optimization; Swarm optimization; Translation parameters; Neural machine translation; Particle swarm optimization (PSO)","IGI Global","","","","","","19479263","","","Article","Final","","Scopus","2-s2.0-105003658798"
"Fan X.; Fang S.; Li Z.; Ji H.; Yue M.; Li J.; Ren X.","Fan, Xiaqiong (59457563500); Fang, Senlin (57221483085); Li, Zhengyan (59509441800); Ji, Hongchao (56115945600); Yue, Minghan (59893637400); Li, Jiamin (59893259000); Ren, Xiaozhen (29567483400)","59457563500; 57221483085; 59509441800; 56115945600; 59893637400; 59893259000; 29567483400","ICVAE: Interpretable Conditional Variational Autoencoder for De Novo Molecular Design","2025","International Journal of Molecular Sciences","26","9","3980","","","","0","10.3390/ijms26093980","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004891763&doi=10.3390%2fijms26093980&partnerID=40&md5=a82b13187b7fddc4700b5a9ab3d44bfa","School of Artificial Intelligence and Big Data, Henan University of Technology, Zhengzhou, 450001, China; Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen, 518120, China; State Key Laboratory of Crop Stress Adaptation and Improvement, School of Life Sciences, Henan University, Kaifeng, 475001, China","Fan X., School of Artificial Intelligence and Big Data, Henan University of Technology, Zhengzhou, 450001, China; Fang S., Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen, 518120, China; Li Z., Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen, 518120, China, State Key Laboratory of Crop Stress Adaptation and Improvement, School of Life Sciences, Henan University, Kaifeng, 475001, China; Ji H., Agricultural Genomics Institute at Shenzhen, Chinese Academy of Agricultural Sciences, Shenzhen, 518120, China; Yue M., School of Artificial Intelligence and Big Data, Henan University of Technology, Zhengzhou, 450001, China; Li J., School of Artificial Intelligence and Big Data, Henan University of Technology, Zhengzhou, 450001, China; Ren X., School of Artificial Intelligence and Big Data, Henan University of Technology, Zhengzhou, 450001, China","Recent studies have demonstrated that machine learning-based generative models can create novel molecules with desirable properties. Among them, Conditional Variational Autoencoder (CVAE) is a powerful approach to generate molecules with desired physiochemical and pharmacological properties. However, the CVAE’s latent space is still a black-box, making it difficult to understand the relationship between the latent space and molecular properties. To address this issue, we propose the Interpretable Conditional Variational Autoencoder (ICVAE), which introduces a modified loss function that correlates the latent value with molecular properties. ICVAE established a linear mapping between latent variables and molecular properties. This linearity is not only crucial for improving interpretability, by assigning clear semantic meaning to latent dimensions, but also provides a practical advantage. It enables direct manipulation of molecular attributes through simple coordinate shifts in latent space, rather than relying on opaque, black-box optimization algorithms. Our experimental results show that the ICVAE can linearly relate one or multiple molecular properties with the latent value and generate molecules with precise properties by controlling the latent values. The ICVAE’s interpretability allows us to gain insight into the molecular generation process, making it a promising approach in drug discovery and material design. © 2025 by the authors.","drug discovery; molecular generation; variational autoencoder","Algorithms; Autoencoder; Drug Design; Drug Discovery; Machine Learning; algorithm; article; autoencoder; drug development; generative model; human; machine learning; autoencoder; drug design; machine learning; procedures","Multidisciplinary Digital Publishing Institute (MDPI)","","","","","","16616596","","","Article","Final","","Scopus","2-s2.0-105004891763"
"Kmiecik M.","Kmiecik, Mariusz (57414626500)","57414626500","Creating a genetic algorithm for third-party logistics’ warehouse delivery scheduling via a large language model","2025","Journal of Modelling in Management","20","4","","1138","1162","24","0","10.1108/JM2-06-2024-0192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003764927&doi=10.1108%2fJM2-06-2024-0192&partnerID=40&md5=a981d8bdeb473368feca6660276e3b96","Department of Logistics, Silesian University of Technology, Gliwice, Poland","Kmiecik M., Department of Logistics, Silesian University of Technology, Gliwice, Poland","Purpose: The purpose of this paper is to present the design and implementation of a genetic algorithm (GA), using a large language model (LLM) for optimizing the delivery scheduling process in warehouses of third-party logistics (3PL) companies, within the context of a simplified case study, and to highlight the main directions for implementing this methodology in business realities. Design/methodology/approach: Using a simplified case study of an international 3PL company, this study applies a GA developed in RStudio by LLM to generate test scenarios and input data. The GA was optimized to minimize the time and distance of movement in the process of preparing goods for shipment, demonstrating its effectiveness in improving warehouse delivery scheduling. Findings: The study confirms that the GA, supported by LLM, significantly improves the delivery planning process in the warehouse. Specifically, the implementation of the GA led to notable improvements in scheduling efficiency and a reduction in the distance traveled within the warehouse. These enhancements enable more efficient generation, evaluation and optimization of logistic scenarios. Additionally, the use of LLM greatly facilitates the creation and refinement of complex algorithms like GA, through automation and innovative approaches in logistics. Research limitations/implications: The study highlights limitations related to data quality, the dynamic nature of logistic operations, computational complexity and the need for generalization of results. It also points out the lack of research in business realities that demonstrate the effectiveness of combining the benefits of LLM and GA in practice. Originality/value: This paper makes a significant contribution to the literature by demonstrating the capabilities of advanced technologies such as GA and LLM in 3PL logistics. It presents an innovative approach to optimizing logistic processes, offering perspectives for further innovations and automation in supply chain management. It also indicates new opportunities for 3PL companies in terms of improving operational and cost efficiency, emphasizing the importance of continuously seeking innovative solutions in the face of increasing market demands. © 2024, Emerald Publishing Limited.","Genetic algorithm; Large language model (LLM); Third-party logistics (3PL); Warehousing","","Emerald Publishing","","","","","","17465664","","","Article","Final","","Scopus","2-s2.0-105003764927"
"Hsieh P.-C.; Lee W.-P.","Hsieh, Po-Cheng (59767749300); Lee, Wei-Po (59467875400)","59767749300; 59467875400","A Particle Swarm Optimization-Based Approach Coupled With Large Language Models for Prompt Optimization","2025","Expert Systems","42","6","e70049","","","","0","10.1111/exsy.70049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004212189&doi=10.1111%2fexsy.70049&partnerID=40&md5=7ea35cf493d6c2ae85e132998507b36d","Department of Information Management, National Sun Yat-Sen University, Kaohsiung, Taiwan","Hsieh P.-C., Department of Information Management, National Sun Yat-Sen University, Kaohsiung, Taiwan; Lee W.-P., Department of Information Management, National Sun Yat-Sen University, Kaohsiung, Taiwan","Large language models (LLMs) have been developing rapidly to attract significant attention these days. These models have exhibited remarkable abilities in achieving various natural language processing (NLP) tasks, but the performance depends highly on the quality of prompting. Prompt engineering methods have been promoted for further extending the models' abilities to perform different applications. However, prompt engineering involves crafting input prompts for better accuracy and efficiency, demanding substantial expertise with trial-and-error effort. Automating the prompting process is important and can largely reduce human efforts in building suitable prompts. In this work, we develop a new metaheuristic algorithm to couple the Particle Swarm Optimization (PSO) technique and LLMs for prompt optimization. Our approach has some unique features: it can converge within only a small number of iterations (i.e., typically 10–20 iterations) to vastly reduce the expensive LLM usage cost; it can easily be applied to conduct many kinds of tasks owing to its simplicity and efficiency; and most importantly, it does not need to depend so much on the quality of initial prompts, because it can improve the prompts through learning more effectively based on enormous existing data. To evaluate the proposed approach, we conducted a series of experiments with several types of NLP datasets and compared them to others. The results highlight the importance of coupling metaheuristic search algorithms and LLMs for prompt optimization, proving that the presented approach can be adopted to enhance the performance of LLMs. © 2025 John Wiley & Sons Ltd.","ChatGPT; large language model; machine learning; particle swarm optimization; prompt optimization","ChatGPT; Language model; Large language model; Machine-learning; Natural languages; Optimisations; Particle swarm; Particle swarm optimization; Prompt optimization; Swarm optimization; Particle swarm optimization (PSO)","John Wiley and Sons Inc","","","","","","02664720","","EXSYE","Article","Final","","Scopus","2-s2.0-105004212189"
"Hu Z.; Zhou Y.; Wang Z.; Li X.; Yang W.; Fan H.; Yang Y.","Hu, Zhaolin (59984486600); Zhou, Yixiao (59983822800); Wang, Zhongan (59983382200); Li, Xin (57775668000); Yang, Weimin (7407758105); Fan, Hehe (57200617264); Yang, Yi (57222101012)","59984486600; 59983822800; 59983382200; 57775668000; 7407758105; 57200617264; 57222101012","OSDA AGENT: LEVERAGING LARGE LANGUAGE MODELS FOR DE NOVO DESIGN OF ORGANIC STRUCTURE DIRECTING AGENTS","2025","13th International Conference on Learning Representations, ICLR 2025","","","","17630","17662","32","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010183768&partnerID=40&md5=88883e2146b87bc4d771a3d428520bb5","The State Key Laboratory of Brain-Machine Intelligence, Zhejiang University, China; CCAI, Zhejiang University, China; Shanghai Innovation Institute, China; The State Key Laboratory of Green Chemical Engineering and Industrial Catalysis, Sinopec Shanghai Research Institute of Petrochemical Technology, China","Hu Z., The State Key Laboratory of Brain-Machine Intelligence, Zhejiang University, China, CCAI, Zhejiang University, China; Zhou Y., CCAI, Zhejiang University, China, Shanghai Innovation Institute, China; Wang Z., CCAI, Zhejiang University, China; Li X., The State Key Laboratory of Green Chemical Engineering and Industrial Catalysis, Sinopec Shanghai Research Institute of Petrochemical Technology, China; Yang W., The State Key Laboratory of Green Chemical Engineering and Industrial Catalysis, Sinopec Shanghai Research Institute of Petrochemical Technology, China; Fan H., CCAI, Zhejiang University, China; Yang Y., The State Key Laboratory of Brain-Machine Intelligence, Zhejiang University, China, CCAI, Zhejiang University, China","Zeolites are crystalline porous materials that have been widely utilized in petrochemical industries as well as sustainable chemistry areas. Synthesis of zeolites often requires small molecules termed Organic Structure Directing Agents (OSDAs), which are critical in forming the porous structure. Molecule generation models can aid the design of OSDAs, but they are limited by single functionality and lack of interactivity. Meanwhile, large language models (LLMs) such as GPT-4, as general-purpose artificial intelligence systems, excel in instruction comprehension, logical reasoning, and interactive communication. However, LLMs lack in-depth chemistry knowledge and first-principle computation capabilities, resulting in uncontrollable outcomes even after fine-tuning. In this paper, we propose OSDA Agent, an interactive OSDA design framework that leverages LLMs as the brain, coupled with computational chemistry tools. The OSDA Agent consists of three main components: the Actor, responsible for generating potential OSDA structures; the Evaluator, which assesses and scores the generated OSDAs using computational chemistry tools; and the Self-reflector, which produces reflective summaries based on the Evaluator's feedback to refine the Actor's subsequent outputs. Experiments on representative zeolite frameworks show the generation-evaluation-reflection-refinement workflow can perform de novo design of OSDAs with superior generation quality than the pure LLM model, generating candidates consistent with experimentally validated OSDAs and optimizing known OSDAs. © 2025 13th International Conference on Learning Representations, ICLR 2025. All rights reserved.","","","International Conference on Learning Representations, ICLR","","13th International Conference on Learning Representations, ICLR 2025","24 April 2025 through 28 April 2025","Singapore","209472","","979-833132085-0","","Conference paper","Final","","Scopus","2-s2.0-105010183768"
"Liu X.; Yang J.; Yi L.; Li D.; Wang Q.; Du H.; Hou L.; Wei Y.","Liu, Xiaoda (57203992805); Yang, Jing (59496233400); Yi, Liya (59496233500); Li, Donghu (57762797300); Wang, Qian (57195678085); Du, Huayun (26643880300); Hou, Lifeng (7202492135); Wei, Yinghui (56107741400)","57203992805; 59496233400; 59496233500; 57762797300; 57195678085; 26643880300; 7202492135; 56107741400","Multi-objective optimization of fracturing ball strength and corrosion rate with genetic algorithms and interpretable machine learning","2025","Advanced Composites and Hybrid Materials","8","1","100","","","","1","10.1007/s42114-024-01199-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85213797100&doi=10.1007%2fs42114-024-01199-5&partnerID=40&md5=254438abb05af539970a08d74ee03206","College of Artificial Intelligence, Taiyuan University of Technology, Jinzhong, 030600, China; College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China; Shanxi Polytechnic College, Taiyuan, 030006, China","Liu X., College of Artificial Intelligence, Taiyuan University of Technology, Jinzhong, 030600, China; Yang J., College of Artificial Intelligence, Taiyuan University of Technology, Jinzhong, 030600, China; Yi L., Shanxi Polytechnic College, Taiyuan, 030006, China; Li D., College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China; Wang Q., College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China; Du H., College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China; Hou L., College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China; Wei Y., College of Materials Science and Engineering, Taiyuan University of Technology, Taiyuan, 030024, China","Traditional alloy design typically relies on trial and error and experience. Machine learning can significantly accelerate the discovery and design process of new materials. However, as the number of elements in the alloy and target performance metrics increase, alloy optimization becomes more challenging. To address this, this paper proposes a machine learning–based multi-objective optimization method for magnesium alloy fracturing balls. The machine learning model trained on the magnesium alloy corrosion and ultimate compressive strength database achieves an accuracy of 0.98 on the training set and 0.93 on the test set. By using a multi-objective genetic algorithm to optimize the element ratios of the magnesium alloy, Mg-6.4Al-3.4Zn-4.6Cu was obtained, with a corrosion rate of 538 mm/year and an ultimate compressive strength of 369 MPa. This provides a new method for the efficient, rapid, and precise preparation of novel degradable magnesium alloys. © The Author(s), under exclusive licence to Springer Nature Switzerland AG 2024.","Corrosion; Degradable magnesium alloys; Machine learning; Multi-objective optimization","Adversarial machine learning; Copper alloys; Copper corrosion; Corrosion rate; Magnesium alloys; Zinc alloys; Alloy designs; Degradable magnesium alloy; Design-process; Machine-learning; Multi-objectives optimization; Optimisations; Optimization method; Performance metrices; Trial and error; Ultimate compressive strength; Genetic algorithms","Springer Science and Business Media B.V.","","","","","","25220128","","","Article","Final","","Scopus","2-s2.0-85213797100"
"Uludağ O.","Uludağ, Onur (58809001300)","58809001300","Examining the differential effects of reformulations and elicitations on Turkish EFL learners’ uptake and use of English past counterfactual conditionals; [Examen de los efectos diferenciales de las reformulaciones y elicitaciones en la captación y el uso de condicionales contrafactuales en inglés por parte de estudiantes turcos de ILE]","2025","Porta Linguarum","2025","44","","47","67","20","0","10.30827/portalin.vi44.27494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010517882&doi=10.30827%2fportalin.vi44.27494&partnerID=40&md5=9090cc53cd66d199c83824fbd46dbaad","Afyon Kocatepe University, Turkey","Uludağ O., Afyon Kocatepe University, Turkey","The study investigated the differential effects of reformulations and elicitations during the use of a complex linguistic structure, namely, English past counterfactual conditionals. It also explored how proficiency level of learners mediated the successful use of the target form. Sixty Turkish EFL learners were employed and distributed into three groups: reformulations (n = 20), elicitations (n = 20), and control (n = 20). During the online delivery of courses due to the COVID-19 pandemic, the learners met their instructors synchronously outside class times over a period of five weeks for the administration of the treatment and data collection. To prompt the use of the target linguistic structure, the researcher developed an oral production task. The immediate learner uptake measures and pretest-posttest results were analyzed to evaluate the effectiveness of both feedback strategies. The analysis comparing the measure of learner uptake indicated a greater number of successful corrections for reformulations. The data from the pretest-posttest measures also suggested that the reformulations group outperformed the elicitations and control group. It was also revealed that the proficiency level of learners had a mediating role only for reformulations. The findings of the study were discussed with reference to pedagogical implications. © 2025, Universidad de Granada. All rights reserved.","elicitations; English past counterfactual conditionals; oral corrective feedback; reformulations; uptake","","Universidad de Granada","","","","","","16977467","","","Article","Final","","Scopus","2-s2.0-105010517882"
"Mesquita C.T.; Schwartzmann P.; Correia E.B.; Simões M.V.; Biolo A.; Duque D.R.; Jay P.Y.; Fernandes F.","Mesquita, Claudio Tinoco (7003976189); Schwartzmann, Pedro (37089212200); Correia, Edileide Barros (59704839900); Simões, Marcus V. (7102405738); Biolo, Andreia (6506436902); Duque, Daniel Rodriguez (59756823400); Jay, Patrick Y. (7005647517); Fernandes, Fábio (7103077860)","7003976189; 37089212200; 59704839900; 7102405738; 6506436902; 59756823400; 7005647517; 7103077860","Patisiran Treatment in the Brazilian Subpopulation of the Phase 3 APOLLO-B Study in Transthyretin Amyloidosis with Cardiomyopathy: Post Hoc Analysis; [Tratamento com Patisirana na Subpopulação Brasileira do Estudo de Fase 3 APOLLO-B em Amiloidose por Transtirretina com Cardiomiopatia: Análise Post Hoc]","2025","Arquivos Brasileiros de Cardiologia","122","4","e20240568","","","","0","10.36660/abc.20240568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105003705628&doi=10.36660%2fabc.20240568&partnerID=40&md5=b93a73332a606bf9a6ca28dd3c8c0153","Hospital Pró-Cardíaco, RJ, Rio de Janeiro, Brazil; Universidade Federal Fluminense, RJ, Niterói, Brazil; Unimed Ribeirão Preto, SP, Ribeirão Preto, Brazil; Instituto Dante Pazzanese de Cardiologia, SP, São Paulo, Brazil; Universidade de São Paulo Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto, SP, Ribeirão Preto, Brazil; Universidade Federal do Rio Grande do Sul, RS, Porto Alegre, Brazil; Alnylam Pharmaceuticals Inc, Cambridge, MA, United States; Instituto do Coração do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo, SP, São Paulo, Brazil","Mesquita C.T., Hospital Pró-Cardíaco, RJ, Rio de Janeiro, Brazil, Universidade Federal Fluminense, RJ, Niterói, Brazil; Schwartzmann P., Unimed Ribeirão Preto, SP, Ribeirão Preto, Brazil; Correia E.B., Instituto Dante Pazzanese de Cardiologia, SP, São Paulo, Brazil; Simões M.V., Universidade de São Paulo Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto, SP, Ribeirão Preto, Brazil; Biolo A., Universidade Federal do Rio Grande do Sul, RS, Porto Alegre, Brazil; Duque D.R., Alnylam Pharmaceuticals Inc, Cambridge, MA, United States; Jay P.Y., Alnylam Pharmaceuticals Inc, Cambridge, MA, United States; Fernandes F., Instituto do Coração do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo, SP, São Paulo, Brazil","Background: Patisiran rapidly knocked down transthyretin and preserved functional capacity in patients with transthyretin amyloidosis with cardiomyopathy (ATTR-CM) in the global Phase 3 APOLLO-B study (NCT03997383). Objectives: To evaluate patisiran efficacy and safety in post hoc analysis of the Brazilian subpopulation of APOLLO-B. Methods: Patients were randomized 1:1 to patisiran 0.3 mg/kg or placebo every 3 weeks for 12 months. The primary endpoint was the change from baseline (CFB) in functional capacity (6-minute walk test [6MWT]) at Month 12. Secondary endpoints included CFB to Month 12 in the Kansas City Cardiomyopathy Questionnaire-Overall Summary (KCCQ-OS) score. Exploratory endpoints included CFB in cardiac biomarkers and Perugini grade of cardiac uptake during technetium-99m scintigraphy. Results: Forty-two patients enrolled in Brazil (patisiran, n=20; placebo, n=22). Patisiran showed benefit in 6MWT and KCCQ-OS scores vs. placebo; CFB (95% confidence interval [CI]) in 6MWT (median) and KCCQ-OS scores (least squares mean) was –2.0 m (–58.5, 42.9) and 9.37 (1.93, 16.81) points with patisiran vs. –30.1 m (–72.2, 3.5) and 2.62 (–4.68, 9.92) points for placebo. For cardiac biomarkers, the mean fold-change from baseline (95% CI) for N-terminal prohormone B-type natriuretic peptide and troponin I was 1.31 (1.06, 1.61) and 1.12 (0.94, 1.34) for patisiran, and 1.71 (1.39, 2.10) and 1.28 (1.08, 1.53) for placebo, respectively. Perugini grade improved in 11/18 (61.1%) and 0/10 evaluable patients with patisiran and placebo, respectively. There were no deaths in the patisiran group vs. 3 in the placebo group. Conclusion: The efficacy and safety of patisiran in Brazilian patients with ATTR-CM in APOLLO-B were consistent with those in the global study population. Findings are descriptive due to the small number of patients. © 2025, Sociedade Brasileira de Cardiologia. All rights reserved.","Amyloidosis; Cardiomyopathies; Clinical Trial; Small Interfering RNA; Transthyretin","Aged; Amyloid Neuropathies, Familial; Amyloidosis, Hereditary, Transthyretin-Related; Biomarkers; Brazil; Cardiomyopathies; Double-Blind Method; Female; Humans; Male; Middle Aged; Natriuretic Peptide, Brain; Peptide Fragments; RNA, Small Interfering; Time Factors; Treatment Outcome; Walk Test; amino terminal pro brain natriuretic peptide; biological marker; creatinine; patisiran; troponin; biological marker; brain natriuretic peptide; patisiran; peptide fragment; pro-brain natriuretic peptide (1-76); small interfering RNA; adult; aged; all cause mortality; Article; atrial fibrillation; ATTR amyloidosis; body mass; cardiomyopathy; clinical practice; constipation; controlled study; coronavirus disease 2019; double blind procedure; drug efficacy; drug safety; estimated glomerular filtration rate; female; follow up; heart failure; hematuria; hospitalization; human; insomnia; Kansas City Cardiomyopathy Questionnaire; kidney failure; major clinical study; male; multicenter study; muscle spasm; nausea; New York Heart Association class; observational study; outcome assessment; pharmacodynamics; phase 3 clinical trial; post hoc analysis; randomized controlled trial; scintigraphy; six minute walk test; tachycardia; urosepsis; blood; Brazil; clinical trial; complication; drug therapy; familial amyloid polyneuropathy; middle aged; pathophysiology; time factor; treatment outcome; walk test","Sociedade Brasileira de Cardiologia","","","","","","0066782X","","ABCAA","Article","Final","","Scopus","2-s2.0-105003705628"
